"No.","Time","Source","Destination","Protocol","Length","Info"
"58","10.544683","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","86","31947  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"59","10.590890","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","86","443  >  31946 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"60","10.591123","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"61","10.592370","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","1869","Client Hello (SNI=config.edge.skype.com)"
"62","10.592623","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","146","Standard query response 0x7997 No such name AAAA wpad.GOV.ZM SOA pch.nic.ZM"
"63","10.607010","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","94","Standard query 0x5ae7 AAAA login.live.com"
"64","10.613442","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","86","443  >  31947 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"65","10.613675","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"66","10.614827","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","1805","Client Hello (SNI=config.edge.skype.com)"
"67","10.627703","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","94","Standard query 0xf21c A assets.msn.com"
"68","10.628439","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","fd8c:9225:cb4d:10::1","DNS","94","Standard query 0x8fa5 AAAA assets.msn.com"
"69","10.651870","192.168.1.107","192.168.1.255","NBNS","92","Name query NB NLB_GRZ<00>"
"70","10.651870","192.168.1.107","224.0.0.251","MDNS","73","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"71","10.651870","fe80::457a:d42d:b727:3b6b","ff02::1:3","LLMNR","87","Standard query 0x254b A NLB_GRZ"
"72","10.651870","192.168.1.107","224.0.0.252","LLMNR","67","Standard query 0x254b A NLB_GRZ"
"73","10.651870","fe80::457a:d42d:b727:3b6b","ff02::fb","MDNS","93","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"74","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31946 [ACK] Seq=1 Ack=1796 Win=4194560 Len=0"
"75","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31946 [ACK] Seq=1 Ack=1796 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"76","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31946 [ACK] Seq=1441 Ack=1796 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"77","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31946 [ACK] Seq=2881 Ack=1796 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"78","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31946 [ACK] Seq=4321 Ack=1796 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"79","10.675841","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","311","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"80","10.676238","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [ACK] Seq=1796 Ack=5998 Win=131584 Len=0"
"81","10.684512","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","232","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"82","10.685263","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","173","Application Data"
"83","10.685692","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","592","Application Data"
"84","10.686073","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=1 Ack=1401 Win=4193280 Len=0"
"85","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=1 Ack=1732 Win=4194560 Len=0"
"86","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31947 [ACK] Seq=1 Ack=1732 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"87","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31947 [ACK] Seq=1441 Ack=1732 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"88","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31947 [ACK] Seq=2881 Ack=1732 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"89","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","1514","443  >  31947 [ACK] Seq=4321 Ack=1732 Win=4194560 Len=1440 [TCP segment of a reassembled PDU]"
"90","10.697211","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","311","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"91","10.697424","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [ACK] Seq=1732 Ack=5998 Win=131584 Len=0"
"92","10.706282","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","232","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"93","10.706853","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","173","Application Data"
"94","10.707359","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","592","Application Data"
"95","10.708845","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","284","Standard query response 0x8fa5 AAAA assets.msn.com CNAME assets-msn-com-world-default.trafficmanager.net CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net SOA n0d.akamaiedge.net"
"96","10.729196","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","302","Standard query response 0x5ae7 AAAA login.live.com CNAME login.msa.msidentity.com CNAME www.tm.lg.prod.aadmsa.trafficmanager.net CNAME prdv4a.aadg.msidentity.com CNAME www.tm.v4.a.prd.aadg.trafficmanager.net SOA tm1.dns-tm.com"
"97","10.731311","192.168.1.132","20.190.181.4","TCP","66","31948  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"98","10.745965","fd8c:9225:cb4d:10::1","fd8c:9225:cb4d:10:4fa:db4c:8d94:6147","DNS","370","Standard query response 0xf21c A assets.msn.com CNAME assets-msn-com-world-default.trafficmanager.net CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 2.16.162.226 A 2.16.162.20 A 2.16.162.230 A 2.16.162.229 A 2.16.162.231 A 2.16.162.21 A 2.16.162.22 A 2.16.162.30 A 2.16.162.227"
"99","10.748164","192.168.1.132","2.16.162.226","TCP","66","31949  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"100","10.777335","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31946 [ACK] Seq=5998 Ack=2053 Win=4194304 Len=0"
"101","10.777335","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","416","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"102","10.777335","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","143","Application Data"
"103","10.777651","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [ACK] Seq=2571 Ack=6409 Win=131072 Len=0"
"104","10.778961","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","112","Application Data"
"105","10.798574","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=5998 Ack=1890 Win=4194560 Len=0"
"106","10.798574","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","112","Application Data"
"107","10.798574","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=5998 Ack=2507 Win=4193792 Len=0"
"108","10.798574","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","416","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"109","10.798574","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","143","Application Data"
"110","10.798872","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [ACK] Seq=2507 Ack=6409 Win=131072 Len=0"
"111","10.799541","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TLSv1.2","112","Application Data"
"112","10.844871","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [ACK] Seq=2609 Ack=6447 Win=131072 Len=0"
"113","10.848376","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31946 [ACK] Seq=6447 Ack=2609 Win=4193792 Len=0"
"114","10.855644","TIBRO_1f:d6:9d","Broadcast","ARP","42","Who has 192.168.1.55? Tell 192.168.1.1"
"115","10.872879","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","112","Application Data"
"116","10.883474","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=6447 Ack=2545 Win=4193792 Len=0"
"117","10.911278","2.16.162.226","192.168.1.132","TCP","66","443  >  31949 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"118","10.911639","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"119","10.915885","192.168.1.132","2.16.162.226","TLSv1.3","330","Client Hello (SNI=assets.msn.com)"
"120","10.923407","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [ACK] Seq=2545 Ack=6447 Win=131072 Len=0"
"121","11.001242","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","687","Application Data"
"122","11.014203","192.168.1.132","20.189.173.14","TCP","54","31871  >  443 [FIN, ACK] Seq=1 Ack=1 Win=516 Len=0"
"123","11.014654","192.168.1.132","20.189.173.14","TCP","54","31870  >  443 [FIN, ACK] Seq=1 Ack=1 Win=514 Len=0"
"124","11.017663","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [FIN, ACK] Seq=2545 Ack=7060 Win=130304 Len=0"
"125","11.022604","20.190.181.4","192.168.1.132","TCP","66","443  >  31948 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"126","11.022850","192.168.1.132","20.190.181.4","TCP","54","31948  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"127","11.027301","192.168.1.132","20.190.181.4","TLSv1.2","348","Client Hello (SNI=login.live.com)"
"128","11.069139","fe80::457a:d42d:b727:3b6b","ff02::1:3","LLMNR","87","Standard query 0x254b A NLB_GRZ"
"129","11.069139","192.168.1.107","224.0.0.252","LLMNR","67","Standard query 0x254b A NLB_GRZ"
"130","11.069139","192.168.1.107","224.0.0.251","MDNS","73","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"131","11.069139","fe80::457a:d42d:b727:3b6b","ff02::fb","MDNS","93","Standard query 0x0000 A NLB_GRZ.local, ""QM"" question"
"132","11.081194","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [ACK] Seq=7060 Ack=2546 Win=4193792 Len=0"
"133","11.081194","2.16.162.226","192.168.1.132","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"134","11.081194","2.16.162.226","192.168.1.132","TCP","1514","443  >  31949 [PSH, ACK] Seq=1461 Ack=277 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"135","11.081464","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=277 Ack=2921 Win=262144 Len=0"
"136","11.091525","2.16.162.226","192.168.1.132","TLSv1.3","991","Application Data, Application Data, Application Data"
"137","11.091525","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","116","Application Data"
"138","11.091525","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31947 [FIN, ACK] Seq=7102 Ack=2546 Win=4193792 Len=0"
"139","11.091615","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=277 Ack=3858 Win=261120 Len=0"
"140","11.091755","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31947  >  443 [RST, ACK] Seq=2546 Ack=7102 Win=0 Len=0"
"141","11.102072","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","687","Application Data"
"142","11.106133","192.168.1.132","2.16.162.226","TLSv1.3","134","Change Cipher Spec, Application Data"
"143","11.110050","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [FIN, ACK] Seq=2609 Ack=7060 Win=130304 Len=0"
"144","11.147844","192.168.1.132","10.8.25.133","TCP","66","31950  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"145","11.163219","192.168.1.132","2.16.162.226","TLSv1.3","381","Application Data"
"146","11.182448","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31946 [ACK] Seq=7060 Ack=2610 Win=4193792 Len=0"
"147","11.182448","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TLSv1.2","116","Application Data"
"148","11.182654","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","2620:1ec:21::16","TCP","74","31946  >  443 [RST, ACK] Seq=2610 Ack=7102 Win=0 Len=0"
"149","11.193132","2620:1ec:21::16","2c0f:2a80:2552:e10:4fa:db4c:8d94:6147","TCP","74","443  >  31946 [FIN, ACK] Seq=7102 Ack=2610 Win=4193792 Len=0"
"150","11.253777","2.16.162.226","192.168.1.132","TCP","54","443  >  31949 [ACK] Seq=3858 Ack=357 Win=64128 Len=0"
"151","11.264282","2.16.162.226","192.168.1.132","TLSv1.3","325","Application Data"
"152","11.264282","2.16.162.226","192.168.1.132","TLSv1.3","325","Application Data"
"153","11.264507","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=684 Ack=4400 Win=262144 Len=0"
"154","11.311822","2.16.162.226","192.168.1.132","TCP","54","443  >  31949 [ACK] Seq=4400 Ack=684 Win=64128 Len=0"
"155","11.311822","20.190.181.4","192.168.1.132","TCP","1514","443  >  31948 [ACK] Seq=1 Ack=295 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"156","11.311822","20.190.181.4","192.168.1.132","TCP","1514","443  >  31948 [ACK] Seq=1461 Ack=295 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"157","11.311822","20.190.181.4","192.168.1.132","TLSv1.2","1091","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"158","11.312133","192.168.1.132","20.190.181.4","TCP","54","31948  >  443 [ACK] Seq=295 Ack=3958 Win=132352 Len=0"
"159","11.315694","2.16.162.226","192.168.1.132","TCP","1514","443  >  31949 [ACK] Seq=4400 Ack=684 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"160","11.315694","2.16.162.226","192.168.1.132","TCP","1514","443  >  31949 [PSH, ACK] Seq=5860 Ack=684 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"161","11.315805","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=684 Ack=7320 Win=262144 Len=0"
"162","11.315913","2.16.162.226","192.168.1.132","TCP","1514","443  >  31949 [ACK] Seq=7320 Ack=684 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"163","11.315913","2.16.162.226","192.168.1.132","TLSv1.3","698","Application Data"
"164","11.315958","192.168.1.132","2.16.162.226","TCP","54","31949  >  443 [ACK] Seq=684 Ack=9424 Win=262144 Len=0"
"165","11.323168","192.168.1.132","20.190.181.4","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"166","11.375817","192.168.1.107","192.168.1.255","NBNS","92","Name query NB NLB_GRZ<00>"
"167","11.379538","20.189.173.14","192.168.1.132","TCP","54","443  >  31871 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
